headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes
貪心,欲深い,ㄊㄢ ㄒㄧㄣ,tānxīn,状態動詞(形容詞),7,common,ai,word,,
談論,論じる/話し合う,ㄊㄢˊ ㄌㄨㄣˋ,tánlùn,動詞,7,common,ai,word,,
彈性,柔軟性/弾力性,ㄊㄢˊ ㄒㄧㄥˋ,tánxìng,名詞,7,common,ai,word,,
坦克,戦車,ㄊㄢˇ ㄎㄜˋ,tǎnkè,名詞,7,common,ai,word,,
坦然,平然とした/落ち着いた,ㄊㄢˇ ㄖㄢˊ,tǎnrán,状態動詞(形容詞),7,common,ai,word,,
探病,見舞う,ㄊㄢˋ ㄅㄧㄥˋ,tànbìng,離合動詞,7,common,ai,word,,
探究,究明する/探求する,ㄊㄢˋ ㄐㄧㄡˋ,tànjiù,動詞,7,common,ai,word,,
探索,探索する/探る,ㄊㄢˋ ㄙㄨㄛˇ,tànsuǒ,動詞,7,common,ai,word,,
探望,訪ねる/見舞う,ㄊㄢˋ ㄨㄤˋ,tànwàng,動詞,7,common,ai,word,,
探險,冒険する,ㄊㄢˋ ㄒㄧㄢˇ,tànxiǎn,自動詞,7,common,ai,word,,
堂堂,堂々とした/立派な,ㄊㄤˊ ㄊㄤˊ,tángtáng,状態動詞(形容詞),7,common,ai,word,,
倘若,もし〜ならば,ㄊㄤˇ ㄖㄨㄛˋ,tǎngruò,接続詞,7,common,ai,word,,
逃生,避難する/逃げ延びる,ㄊㄠˊ ㄕㄥ,táoshēng,自動詞,7,common,ai,word,,
逃稅,脱税する,ㄊㄠˊ ㄕㄨㄟˋ,táoshuì,離合動詞,7,common,ai,word,,
淘汰,淘汰する/選別する,ㄊㄠˊ ㄊㄞˋ,táotài,動詞,7,common,ai,word,,
套房,スイートルーム/個室,ㄊㄠˋ ㄈㄤˊ,tàofáng,名詞,7,common,ai,word,,
套裝,スーツ/セット,ㄊㄠˋ ㄓㄨㄤ,tàozhuāng,名詞,7,common,ai,word,,
特此,ここに/この場を借りて,ㄊㄜˋ ㄘˇ,tècǐ,副詞,7,common,ai,word,,
特區,特別区,ㄊㄜˋ ㄑㄩ,tèqū,名詞,7,common,ai,word,,
特權,特権,ㄊㄜˋ ㄑㄩㄢˊ,tèquán,名詞,7,common,ai,word,,
特約,特別契約の/専属の,ㄊㄜˋ ㄩㄝ,tèyuē,状態動詞(連体用),7,common,ai,word,,
特徵,特徴,ㄊㄜˋ ㄓㄥ,tèzhēng,名詞,7,common,ai,word,,
疼愛,慈しむ/可愛がる,ㄊㄜˊnㄍㄞˋ,téngài,状態動詞,7,common,ai,word,,
剔除,取り除く/排除する,ㄊㄧ ㄔㄨˊ,tīchú,動詞,7,common,ai,word,,
啼,泣く/鳴く,ㄊㄧˊ,tí,自動詞,7,common,ai,word,,
提拔,抜擢する/昇進させる,ㄊㄧˊ ㄅㄚˊ,tíbá,動詞,7,common,ai,word,,
提倡,提唱する/推奨する,ㄊㄧˊ ㄔㄤˋ,tíchàng,動詞,7,common,ai,word,,
提出,提出する/提案する,ㄊㄧˊ ㄔㄨ,tíchū,変化動詞,7,common,ai,word,,
提及,言及する,ㄊㄧˊ ㄐㄧˊ,tíjí,動詞,7,common,ai,word,,
提名,指名する,ㄊㄧˊ ㄇㄧㄥˊ,tímíng,動詞,7,common,ai,word,,
提升,向上させる/引き上げる,ㄊㄧˊ ㄕㄥ,tíshēng,動詞,7,common,ai,word,,原表記: 提升/提昇
提議,提案する/提議する,ㄊㄧˊ ㄧˋ,tíyì,動詞,7,common,ai,word,,
體操,体操,ㄊㄧˇ ㄘㄠ,tǐcāo,名詞,7,common,ai,word,,
體格,体格,ㄊㄧˇ ㄍㄜˊ,tǐgé,名詞,7,common,ai,word,,
體積,体積/容積,ㄊㄧˇ ㄐㄧ,tǐjī,名詞,7,common,ai,word,,
體諒,思いやる/理解する,ㄊㄧˇ ㄌㄧㄤˋ,tǐliàng,状態動詞,7,common,ai,word,,
體面,面目がある/立派な,ㄊㄧˇ ㄇㄧㄢˋ,tǐmiàn,状態動詞(形容詞),7,common,ai,word,,
體系,体系/システム,ㄊㄧˇ ㄒㄧˋ,tǐxì,名詞,7,common,ai,word,,
體質,体質,ㄊㄧˇ ㄓˊ,tǐzhí,名詞,7,common,ai,word,,
替代,代用する/取って代わる,ㄊㄧˋ ㄉㄞˋ,tìdài,状態動詞,7,common,ai,word,,
添,加える/増やす,ㄊㄧㄢ,tiān,動詞,7,common,ai,word,,
天然氣,天然ガス,ㄊㄧㄢ ㄖㄢˊ ㄑㄧˋ,tiānránqì,名詞,7,common,ai,word,,
天性,天性/本性,ㄊㄧㄢ ㄒㄧㄥˋ,tiānxìng,名詞,7,common,ai,word,,
田地,畑/耕地,ㄊㄧㄢˊ ㄉㄧˋ,tiándì,名詞,7,common,ai,word,,
田徑,陸上競技,ㄊㄧㄢˊ ㄐㄧㄥˋ,tiánjìng,名詞,7,common,ai,word,,
甜美,甘美な/心地よい,ㄊㄧㄢˊ ㄇㄟˇ,tiánměi,状態動詞(形容詞),7,common,ai,word,,
挑剔,選り好みする,ㄊㄧㄠ ㄊㄧ,tiāotī,動詞,7,common,ai,word,,
調和,調和する/仲裁する,ㄊㄧㄠˊ ㄏㄜˊ,tiáohé,動詞/状態動詞(形容詞),7,common,ai,word,,
調節,調整する/調節する,ㄊㄧㄠˊ ㄐㄧㄝˊ,tiáojié,動詞,7,common,ai,word,,
調皮,いたずらな,ㄊㄧㄠˊ ㄆㄧˊ,tiáopí,状態動詞(形容詞),7,common,ai,word,,
條例,条例/規則,ㄊㄧㄠˊ ㄌㄧˋ,tiáolì,名詞,7,common,ai,word,,
聽寫,書き取り/聴音,ㄊㄧㄥ ㄒㄧㄝˇ,tīngxiě,動詞,7,common,ai,word,,
停頓,一時停止する,ㄊㄧㄥˊ ㄉㄨㄣˋ,tíngdùn,自動詞,7,common,ai,word,,
停留,滞在する/留まる,ㄊㄧㄥˊ ㄌㄧㄡˊ,tíngliú,自動詞,7,common,ai,word,,
停滯,停滞する,ㄊㄧㄥˊ ㄓˋ,tíngzhì,自動詞,7,common,ai,word,,
通報,通報する/通知する,ㄊㄨㄥ ㄅㄠˋ,tōngbào,動詞,7,common,ai,word,,
通車,開通する/通勤する,ㄊㄨㄥ ㄔㄜ,tōngchē,変化動詞,7,common,ai,word,,
通稱,通称する/通称,ㄊㄨㄥ ㄔㄥ,tōngchēng,状態動詞,7,common,ai,word,,
通貨膨脹,インフレ,ㄊㄨㄥ ㄏㄨㄛˋ ㄆㄥˊ ㄓㄤˋ,tōnghuòpéngzhàng,状態動詞(形容詞),7,common,ai,word,,
通緝,指名手配する,ㄊㄨㄥ ㄑㄧˋ,tōngqì,動詞,7,common,ai,word,,
通行,通行する/通用する,ㄊㄨㄥ ㄒㄧㄥˊ,tōngxíng,自動詞,7,common,ai,word,,
通用,広く通用する,ㄊㄨㄥ ㄩㄥˋ,tōngyòng,状態動詞(連体用),7,common,ai,word,,
同伴,仲間/連れ,ㄊㄨㄥˊ ㄅㄢˋ,tóngbàn,名詞,7,common,ai,word,,
