headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes,en_ref,flag
白菜,白菜,ㄅㄞˊ ㄘㄞˋ,báicài,名詞,5,common,ai,word,,,"Chinese cabbage, esp. napa cabbage (Brassica rapa subsp. pekinensis); sometimes used to refer to bok choy (Brassica rapa",見出し語と同一
博士,博士,ㄅㄛˊ ㄕˋ,bóshì,名詞,5,common,ai,word,,,doctor (as an academic degree); (old) person specialized in a skill or trade; (old) court academician,見出し語と同一
博物館,博物館,ㄅㄛˊ ㄨˋ ㄍㄨㄢˇ,bówùguǎn,名詞,5,common,ai,word,,,museum,見出し語と同一
草原,草原,ㄘㄠˇ ㄩㄢˊ,cǎoyuán,名詞,5,common,ai,word,,,grassland; prairie; CL:片[pian4],見出し語と同一
差異,差異,ㄔㄚ ㄧˋ,chāyì,名詞,5,common,ai,word,,,difference; discrepancy,見出し語と同一
成果,成果,ㄔㄥˊ ㄍㄨㄛˇ,chéngguǒ,名詞,5,common,ai,word,,,result; achievement; gain,見出し語と同一
島,島,ㄉㄠˇ,dǎo,名詞,5,common,ai,word,,,"island; CL:個|个[ge4],座[zuo4]",見出し語と同一
道教,道教,ㄉㄠˋ ㄐㄧㄠˋ,dàojiào,名詞,5,common,ai,word,,,Taoism; Daoism (Chinese system of beliefs),見出し語と同一
地理,地理,ㄉㄧˋ ㄌㄧˇ,dìlǐ,名詞,5,common,ai,word,,,geography,見出し語と同一
地球,地球,ㄉㄧˋ ㄑㄧㄡˊ,dìqiú,名詞,5,common,ai,word,,,the earth,見出し語と同一
地形,地形,ㄉㄧˋ ㄒㄧㄥˊ,dìxíng,名詞,5,common,ai,word,,,topography; terrain; landform,見出し語と同一
電池,電池,ㄉㄧㄢˋ ㄔˊ,diànchí,名詞,5,common,ai,word,,,"battery; CL:節|节[jie2],組|组[zu3]",見出し語と同一
動物園,動物園,ㄉㄨㄥˋ ㄨˋ ㄩㄢˊ,dòngwùyuán,名詞,5,common,ai,word,,,zoo; CL:個|个[ge4],見出し語と同一
都市,都市,ㄉㄨ ㄕˋ,dūshì,名詞,5,common,ai,word,,,city; metropolis,見出し語と同一
夫婦,夫婦,ㄈㄨ ㄈㄨˋ,fūfù,名詞,5,common,ai,word,,,a (married) couple; husband and wife; CL:對|对[dui4],見出し語と同一
工業,工業,ㄍㄨㄥ ㄧㄝˋ,gōngyè,名詞,5,common,ai,word,,,industry,見出し語と同一
古代,古代,ㄍㄨˇ ㄉㄞˋ,gǔdài,名詞,5,common,ai,word,,,ancient times,見出し語と同一
規模,規模,ㄍㄨㄟ ㄇㄛˊ,guīmó,名詞,5,common,ai,word,,,scale; scope; extent,見出し語と同一
航空,航空,ㄏㄤˊ ㄎㄨㄥ,hángkōng,名詞,5,common,ai,word,,,aviation,見出し語と同一
話題,話題,ㄏㄨㄚˋ ㄊㄧˊ,huàtí,名詞,5,common,ai,word,,,subject (of a talk or conversation); topic,見出し語と同一
回,回,ㄏㄨㄟˊ,huí,量詞,5,common,ai,word,,,to circle; to go back; to turn around,見出し語と同一
記者,記者,ㄐㄧˋ ㄓㄜˇ,jìzhě,名詞,5,common,ai,word,,,reporter; journalist; CL:個|个[ge4],見出し語と同一
肩,肩,ㄐㄧㄢ,jiān,名詞,5,common,ai,word,,,shoulder; to shoulder (responsibilities etc),見出し語と同一
教材,教材,ㄐㄧㄠˋ ㄘㄞˊ,jiàocái,名詞,5,common,ai,word,,,teaching material; CL:本[ben3],見出し語と同一
教師,教師,ㄐㄧㄠˋ ㄕ,jiàoshī,名詞,5,common,ai,word,,,teacher; CL:個|个[ge4],見出し語と同一
軍隊,軍隊,ㄐㄩㄣ ㄉㄨㄟˋ,jūnduì,名詞,5,common,ai,word,,,"armed forces; troops; CL:支[zhi1],個|个[ge4]",見出し語と同一
軍人,軍人,ㄐㄩㄣ ㄖㄣˊ,jūnrén,名詞,5,common,ai,word,,,serviceman; soldier; military personnel,見出し語と同一
龍,龍,ㄌㄨㄥˊ,lóng,名詞,5,common,ai,word,,,Chinese dragon; loong; (fig.) emperor; dragon,見出し語と同一
貿易,貿易,ㄇㄠˋ ㄧˋ,màoyì,名詞,5,common,ai,word,,,(commercial) trade; CL:個|个[ge4],見出し語と同一
面積,面積,ㄇㄧㄢˋ ㄐㄧ,miànjī,名詞,5,common,ai,word,,,"area (of a floor, piece of land etc); surface area; tract of land",見出し語と同一
秘密,秘密,ㄇㄧˋ ㄇㄧˋ,mìmì,名詞,5,common,ai,word,,原表記: 秘密/祕密,secret; private; confidential; clandestine; a secret (CL:個|个[ge4]),見出し語と同一
年,年,ㄋㄧㄢˊ,nián,名詞,5,common,ai,word,,,year; CL:個|个[ge4],見出し語と同一
農業,農業,ㄋㄨㄥˊ ㄧㄝˋ,nóngyè,名詞,5,common,ai,word,,,agriculture; farming,見出し語と同一
鉛筆,鉛筆,ㄑㄧㄢ ㄅㄧˇ,qiānbǐ,名詞,5,common,ai,word,,,"(lead) pencil; CL:支[zhi1],枝[zhi1],桿|杆[gan3]",見出し語と同一
橋,橋,ㄑㄧㄠˊ,qiáo,名詞,5,common,ai,word,,,bridge; CL:座[zuo4],見出し語と同一
期間,期間,ㄑㄧˊ ㄐㄧㄢ,qíjiān,名詞,5,common,ai,word,,,period of time; time; time period,見出し語と同一
青年,青年,ㄑㄧㄥ ㄋㄧㄢˊ,qīngnián,名詞,5,common,ai,word,,,youth; youthful years; young person,見出し語と同一
青少年,青少年,ㄑㄧㄥ ㄕㄠˋ ㄋㄧㄢˊ,qīngshàonián,名詞,5,common,ai,word,,,adolescent; youth; teenager,見出し語と同一
企業,企業,ㄑㄧˋ ㄧㄝˋ,qìyè,名詞,5,common,ai,word,,,company; firm; enterprise; corporation; CL:家[jia1],見出し語と同一
全身,全身,ㄑㄩㄢˊ ㄕㄣ,quánshēn,名詞,5,common,ai,word,,,the whole body; (typography) em,見出し語と同一
人口,人口,ㄖㄣˊ ㄎㄡˇ,rénkǒu,名詞,5,common,ai,word,,,population; people,見出し語と同一
人類,人類,ㄖㄣˊ ㄌㄟˋ,rénlèi,名詞,5,common,ai,word,,,humanity; human race; mankind,見出し語と同一
森林,森林,ㄙㄣ ㄌㄧㄣˊ,sēnlín,名詞,5,common,ai,word,,,forest; CL:片[pian4],見出し語と同一
時代,時代,ㄕˊ ㄉㄞˋ,shídài,名詞,5,common,ai,word,,,"Time, US weekly news magazine ‖ age",見出し語と同一
石油,石油,ㄕˊ ㄧㄡˊ,shíyóu,名詞,5,common,ai,word,,,oil; petroleum,見出し語と同一
市長,市長,ㄕˋ ㄓㄤˇ,shìzhǎng,名詞,5,common,ai,word,,,mayor,見出し語と同一
