headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes,en_ref
哎,おい/ねえ,ㄞ,āi,助詞,5,common,ai,word,,,hey!; (interjection used to attract attention or to express surprise or disapprobation)
唉,はい/ああ/ため息,ㄞ,āi,助詞,5,common,ai,word,,,"interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh ‖ alas"
愛,愛する / 愛する/好む,ㄞˋ / ㄞˋ,ài / ài,名詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen)
愛情,恋愛,ㄞˋ ㄑㄧㄥˊ,àiqíng,名詞,5,common,ai,word,,,romance; love (romantic); CL:份[fen4]
愛惜,大切にする/惜しむ,ㄞˋ ㄒㄧˊ,àixí,状態動詞,5,common,ai,word,,,to cherish; to treasure; to use sparingly
愛心,思いやり/慈愛,ㄞˋ ㄒㄧㄣ,àixīn,名詞,5,common,ai,word,,,compassion; kindness; care for others
按,押す/棚上げする,ㄢˋ / ㄢˋ,àn / àn,介詞(前置詞)/動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to press; to push; to leave aside or shelve
安定,安定した,ㄢ ㄉㄧㄥˋ,āndìng,状態動詞(形容詞),5,common,ai,word,,,stable; calm; settled; to stabilize; Valium; diazepam
安靜,静かな,ㄢ ㄐㄧㄥˋ,ānjìng,状態動詞(形容詞),5,common,ai,word,,,quiet; peaceful; calm
安排,手配する/計画する,ㄢ ㄆㄞˊ,ānpái,名詞/動詞,5,common,ai,word,,,to arrange; to plan; to set up
安心,安心した,ㄢ ㄒㄧㄣ,ānxīn,状態動詞(形容詞),5,common,ai,word,,,at ease; to feel relieved; to set one's mind at rest
按照,～に従って,ㄢˋ ㄓㄠˋ,ànzhào,介詞(前置詞),5,common,ai,word,,,according to; in accordance with; in the light of
把,〜を(目的語を前に出す介詞) / 握る/取っ手,ㄅㄚˇ / ㄅㄚˇ,bǎ / bǎ,量詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar ‖ handle
白,白い,ㄅㄞˊ,bái,状態動詞(形容詞),5,common,ai,word,,,white; snowy; pure
擺,並べる/置く,ㄅㄞˇ,bǎi,動詞,5,common,ai,word,,,to arrange; to exhibit; to move to and fro
榜樣,手本/模範,ㄅㄤˇ ㄧㄤˋ,bǎngyàng,名詞,5,common,ai,word,,,model; example (for people to follow); (in reference to a person) role model
班機,定期便/フライト,ㄅㄢ ㄐㄧ,bānjī,名詞,5,common,ai,word,,,"airliner; (regular) flight (CL:趟[tang4],次[ci4],班[ban1])"
辦理,処理する/手続きする,ㄅㄢˋ ㄌㄧˇ,bànlǐ,動詞,5,common,ai,word,,,to handle; to transact; to conduct
半天,長い時間,ㄅㄢˋ ㄊㄧㄢ,bàntiān,名詞,5,common,ai,word,,,half of the day; a long time; quite a while
包,包む/〜袋(量詞)/バッグ / 包む/覆う,ㄅㄠ / ㄅㄠ,bāo / bāo,動詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to cover; to wrap; to hold
包含,含む/包含する,ㄅㄠ ㄏㄢˊ,bāohán,状態動詞,5,common,ai,word,,,to contain; to embody; to include
寶貝,宝物/愛しい人,ㄅㄠˇ ㄅㄟˋ / ㄅㄠˇ ㄅㄟˋ,bǎobèi / bǎobèi,名詞/状態動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,treasured object; treasure; darling
寶貴,貴重な,ㄅㄠˇ ㄍㄨㄟˋ,bǎoguì,状態動詞(形容詞),5,common,ai,word,,,valuable; precious; to value
保守,保守的な/守る,ㄅㄠˇ ㄕㄡˇ,bǎoshǒu,状態動詞(形容詞),5,common,ai,word,,,conservative; to guard; to keep
保養,手入れする/養生する,ㄅㄠˇ ㄧㄤˇ,bǎoyǎng,動詞,5,common,ai,word,,,to take good care of (or conserve) one's health; to keep in good repair; to maintain
保證,保証する/確約,ㄅㄠˇ ㄓㄥˋ,bǎozhèng,名詞/動詞,5,common,ai,word,,原表記: 保證/証,guarantee; to guarantee; to ensure
抱,抱く/抱っこする,ㄅㄠˋ / ㄅㄠˋ,bào / bào,動詞/状態動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to hold; to carry (in one's arms); to hug
抱怨,不満を言う/愚痴る,ㄅㄠˋ ㄩㄢˋ,bàoyuàn,動詞,5,common,ai,word,,,to complain; to grumble; to harbor a complaint
報名,申し込む/登録する,ㄅㄠˋ ㄇㄧㄥˊ,bàomíng,離合動詞,5,common,ai,word,,,to sign up; to enter one's name; to apply
把握,把握する/確信,ㄅㄚˇ ㄨㄛˋ / ㄅㄚˇ ㄨㄛˋ,bǎwò / bǎwò,動詞/名詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to grasp (also fig.); to seize; to hold
北方,北方/北部,ㄅㄟˇ ㄈㄤ,běifāng,名詞,5,common,ai,word,,,north; the northern part a country; China north of the Yellow River
被動,受動的な,ㄅㄟˋ ㄉㄨㄥˋ,bèidòng,状態動詞(形容詞),5,common,ai,word,,,passive
背後,背後/裏側,ㄅㄟˋ ㄏㄡˋ,bèihòu,名詞,5,common,ai,word,,,behind; at the back; in the rear
背景,背景/経緯,ㄅㄟˋ ㄐㄧㄥˇ,bèijǐng,名詞,5,common,ai,word,,,background; backdrop; context; (fig.) powerful backer; CL:種|种[zhong3]
輩子,一生/生涯,ㄅㄟˋ ˙ㄗ,bèizi,名詞,5,common,ai,word,,,all one's life; lifetime
本,〜冊(本の量詞) / 本/根源/この,ㄅㄣˇ / ㄅㄣˇ / ㄅㄣˇ,běn / běn / běn,限定詞/副詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,(bound form) root; stem; (bound form) origin; source; (bound form) one's own; this
本人,本人/私自身,ㄅㄣˇ ㄖㄣˊ,běnrén,名詞,5,common,ai,word,,,I; me; myself; oneself; yourself; himself; herself; the person concerned
逼,強いる/迫る,ㄅㄧ,bī,動詞,5,common,ai,word,,,to force (sb to do sth); to compel; to press for
筆,ペン / ペン/筆,ㄅㄧˇ / ㄅㄧˇ,bǐ / bǐ,量詞,1,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,pen; pencil; writing brush
比,〜より(比較) / 比べる/ベルギー,ㄅㄧˇ / ㄅㄧˇ,bǐ / bǐ,動詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,Belgium; Belgian; abbr. for 比利時|比利时[Bi3 li4 shi2] ‖ euphemistic variant of 屄[bi1]
鞭炮,爆竹,ㄅㄧㄢ ㄆㄠˋ,biānpào,名詞,5,common,ai,word,,,firecrackers; string of small firecrackers; CL:枚[mei2]
變,変わる/変化する / 変わる/変化する,ㄅㄧㄢˋ / ㄅㄧㄢˋ,biàn / biàn,変化動詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to change; to become different; to transform
變成,～になる,ㄅㄧㄢˋ ㄔㄥˊ,biànchéng,変化動詞,5,common,ai,word,,,to change into; to turn into; to become
變更,変更する,ㄅㄧㄢˋ ㄍㄥ,biàngēng,動詞,5,common,ai,word,,,to change; to alter; to modify
變化,変化/変動,ㄅㄧㄢˋ ㄏㄨㄚˋ,biànhuà,名詞/状態動詞(形容詞),5,common,ai,word,,,(intransitive) to change; to vary; change; variation (CL:個|个[ge4])
便條,メモ/書き置き,ㄅㄧㄢˋ ㄊㄧㄠˊ,biàntiáo,名詞,5,common,ai,word,,,"(informal) note; CL:張|张[zhang1],個|个[ge4]"
表達,表現する/伝える,ㄅㄧㄠˇ ㄉㄚˊ,biǎodá,動詞,5,common,ai,word,,,to express; to convey
表面,表面/外見,ㄅㄧㄠˇ ㄇㄧㄢˋ,biǎomiàn,名詞,5,common,ai,word,,,surface; face; outside
表示,示す/表明する,ㄅㄧㄠˇ ㄕˋ,biǎoshì,動詞,5,common,ai,word,,,(of sb) to express; to state; to show; (of sth) to indicate; to signify; to show; expression; manifestation
表現,表す/見せびらかす,ㄅㄧㄠˇ ㄒㄧㄢˋ,biǎoxiàn,名詞/動詞,5,common,ai,word,,,to show; to show off; to display
表演,演技/公演,ㄅㄧㄠˇ ㄧㄢˇ,biǎoyǎn,動詞/名詞,5,common,ai,word,,,play; show; performance
畢竟,結局,ㄅㄧˋ ㄐㄧㄥˋ,bìjìng,副詞,5,common,ai,word,,,after all; all in all; when all is said and done
避免,避ける/防ぐ,ㄅㄧˋ ㄇㄧㄢˇ,bìmiǎn,動詞,5,common,ai,word,,,to avert; to prevent; to avoid
餅,焼き菓子/パン,ㄅㄧㄥˇ,bǐng,名詞,5,common,ai,word,,,round flat cake; cookie; cake
病,病気 / 病気,ㄅㄧㄥˋ / ㄅㄧㄥˋ,bìng / bìng,変化動詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,illness; CL:場|场[chang2]; disease
比如,例えば,ㄅㄧˇ ㄖㄨˊ,bǐrú/bǐrúshuō,介詞(前置詞),5,common,ai,word,,原表記: 比如/比如說,for example; for instance; such as
必要,必要な/必要性,ㄅㄧˋ ㄧㄠˋ / ㄅㄧˋ ㄧㄠˋ,bìyào / bìyào,状態動詞(形容詞)/名詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,necessary; essential; indispensable
播,まく/放送する,ㄅㄛˋ,bò,動詞,5,common,ai,word,,,"(bound form) to sow (seeds); to spread (ideas, rumors etc); to broadcast (radio signals etc); Taiwan pr. [bo4]"
布,布/布告する,ㄅㄨˋ,bù,名詞,5,common,ai,word,,,cloth; to declare; to announce
不見,見当たらない,ㄅㄨˋ ㄐㄧㄢˋ(ㄌㄜ˙),bùjiàn(le),変化動詞,5,common,ai,word,,原表記: 不見(了),not to see; not to meet; to have disappeared
不得不,～せざるを得ない,ㄅㄨˋ ㄉㄜˊ ㄅㄨˋ,bùdébù,副詞,5,common,ai,word,,,have no choice or option but to; cannot but; have to
不斷,絶え間ない,ㄅㄨˋ ㄉㄨㄢˋ,bùduàn,副詞/状態動詞(形容詞),5,common,ai,word,,,unceasing; uninterrupted; continuous
不論,～にかかわらず,ㄅㄨˋ ㄌㄨㄣˋ,bùlùn,接続詞,5,common,ai,word,,,"whatever; no matter what (who, how etc); regardless of"
不滿,不満な,ㄅㄨˋ ㄇㄢˇ,bùmǎn,状態動詞(形容詞),5,common,ai,word,,,resentful; discontented; dissatisfied
部門,部門/部署,ㄅㄨˋ ㄇㄣˊ,bùmén,名詞,5,common,ai,word,,,department; branch; section
不如,及ばない/～したほうがいい,ㄅㄨˋ ㄖㄨˊ / ㄅㄨˋ ㄖㄨˊ,bùrú / bùrú,conj/状態動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,not equal to; not as good as; inferior to; it would be better to
不少,少なくない/多い,ㄅㄨˋ ㄕㄠˇ,bùshǎo,限定詞/状態動詞(形容詞),5,common,ai,word,,,many; a lot; not few
不幸,不幸な,ㄅㄨˋ ㄒㄧㄥˋ,bùxìng,状態動詞(形容詞),5,common,ai,word,,,misfortune; adversity; unfortunate
不用說,言うまでもなく,ㄅㄨˋ ㄩㄥˋ ㄕㄨㄛ,bùyòngshuō,接続詞,5,common,ai,word,,,needless to say; it goes without saying
不足,不足している,ㄅㄨˋ ㄗㄨˊ,bùzú,状態動詞(形容詞),5,common,ai,word,,,insufficient; lacking; deficiency
擦,こする/拭く/塗る,ㄘㄚ,cā,動詞,5,common,ai,word,,,"to rub; to scratch; to wipe; to polish; to apply (lipstick, lotion etc)"
猜,推測する,ㄘㄞ,cāi,動詞,5,common,ai,word,,,to guess
材料,材料/資料,ㄘㄞˊ ㄌㄧㄠˋ,cáiliào,名詞,5,common,ai,word,,,(raw) material; data; (fig.) person who has the potential to do the job
採用,採用する,ㄘㄞˇ ㄩㄥˋ,cǎiyòng,動詞,5,common,ai,word,,,to adopt; to employ; to use
