headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes,en_ref
我,私,ㄨㄛˇ,wǒ,名詞,1,common,ai,word,personal,,I; me; my
你,あなた,ㄋㄧˇ,nǐ,名詞,1,common,ai,word,personal,原表記: 你/妳,"you (informal, as opposed to courteous 您[nin2])"
他,彼/彼女,ㄊㄚ,tā,名詞,1,common,ai,word,personal,原表記: 他/她,"(third-person singular) (since the early 20th century, usu. male) he; him; his; (bound form) other; another; some other "
我們,私たち,ㄨㄛˇ ˙ㄇㄣ,wǒmen,名詞,1,common,ai,word,personal,,we; us; ourselves; our
你們,あなたたち,ㄋㄧˇ ˙ㄇㄣ,nǐmen,名詞,1,common,ai,word,personal,原表記: 你們/妳們,you (plural)
他們,彼ら,ㄊㄚ ˙ㄇㄣ,tāmen,名詞,1,common,ai,word,personal,原表記: 他們/她們,they; them
您,あなた様(敬称),ㄋㄧㄣˊ,nín,名詞,1,common,ai,word,personal,,"you (courteous, as opposed to informal 你[ni3])"
誰,誰,ㄕㄟˊ,shéi,名詞,1,common,ai,word,personal,,who; also pr. [shui2]
姓名,氏名,ㄒㄧㄥˋ ㄇㄧㄥˊ,xìngmíng,名詞,1,common,ai,word,personal,,surname and given name; full name
人,人,ㄖㄣˊ,rén,名詞,1,common,ai,word,personal,,"person; people; CL:個|个[ge4],位[wei4]"
國,国,ㄍㄨㄛˊ,guó,名詞,1,common,ai,word,personal,,country; nation; state; (bound form) national
中國,中国,ㄓㄨㄥ ㄍㄨㄛˊ,zhōngguó,名詞,1,common,ai,word,personal,,China
美國,アメリカ,ㄇㄟˇ ㄍㄨㄛˊ,měiguó,名詞,1,common,ai,word,personal,,United States; USA; US
日本,日本,ㄖˋ ㄅㄣˇ,rìběn,名詞,1,common,ai,word,personal,,Japan
台灣,台湾,ㄊㄞˊ ㄨㄢ,táiwān,名詞,1,common,ai,word,personal,原表記: 台灣/臺灣,variant of 臺灣|台湾[Tai2 wan1]
名字,名前,ㄇㄧㄥˊ ˙ㄗ,míngzi,名詞,1,common,ai,word,personal,原表記: 名字(˙ㄗ),name (of a person or thing); CL:個|个[ge4]
家,家,ㄐㄧㄚ,jiā,名詞,1,common,ai,word,personal,,"home; family; (polite) my (sister, uncle etc)"
電話,電話,ㄉㄧㄢˋ ㄏㄨㄚˋ,diànhuà,名詞,1,common,ai,word,personal,,telephone; CL:部[bu4]; phone call
時間,時間,ㄕˊ ㄐㄧㄢ,shíjiān,名詞,1,common,ai,word,personal,,(concept of) time; (duration of) time; (point in) time
小時,〜時間(60分),ㄒㄧㄠˇ ㄕˊ,xiǎoshí,名詞,1,common,ai,word,personal,,hour; CL:個|个[ge4]
現在,今,ㄒㄧㄢˋ ㄗㄞˋ,xiànzài,名詞,1,common,ai,word,personal,,now; at present; at the moment
今年,今年,ㄐㄧㄣ ㄋㄧㄢˊ,jīnnián,名詞,1,common,ai,word,personal,,this year
今天,今日,ㄐㄧㄣ ㄊㄧㄢ,jīntiān,名詞,1,common,ai,word,personal,,today; the present time; now
明天,明日,ㄇㄧㄥˊ ㄊㄧㄢ,míngtiān,名詞,1,common,ai,word,personal,,tomorrow
昨天,昨日,ㄗㄨㄛˊ ㄊㄧㄢ,zuótiān,名詞,1,common,ai,word,personal,,yesterday
早上,朝,ㄗㄠˇ ㄕㄤˋ,zǎoshàng,名詞,1,common,ai,word,personal,,early morning; CL:個|个[ge4]
上午,午前,ㄕㄤˋ ㄨˇ,shàngwǔ,名詞,1,common,ai,word,personal,,morning; CL:個|个[ge4]
中午,昼,ㄓㄨㄥ ㄨˇ,zhōngwǔ,名詞,1,common,ai,word,personal,,noon; midday; CL:個|个[ge4]
下午,午後,ㄒㄧㄚˋ ㄨˇ,xiàwǔ,名詞,1,common,ai,word,personal,,afternoon; CL:個|个[ge4]; p.m.
